"numer_kolumny";"nazwa_kolumny";"opis_kolumny"
902;"ck4.1";"w szpitalu prywatnym"
903;"ck4.2";"w szpitalu publicznym"
904;"ck5.1";"wybor szpitala:chorywybral szpital kierujac sie sugestiami lekarza, ktorywystawil skierowanie do szpitala"
905;"ck5.2";"wybor szpitala:wyboru szpitala dokonal pracownik pogotowia ratunkowego"
906;"ck5.3";"wybor szpitala:chory lub inny czlonek gospodarstwa domowego wybral szpital, kierujac sie wlasnymi informacjami o jakosci pracy roznych szpitali"
907;"ck5.4";"wybor szpitala:wybrany zostal dany szpital dlatego, ze jest najblizej miejsca zamieszkania"
908;"ck5.5";"wybor szpitala:wybrany zostal dany szpital dlatego, ze bylwnimkrotszyniz w innych czas oczekiwania na przyjecie"
909;"ck6.1";"kto placil:sami Panstwo"
910;"ck6.2";"kto placil:osoba spoza gospodarstwa"
911;"ck6.2a";"kto placil:Narodowy Fundusz Zdrowia"
912;"ck6.3";"kto placil:pracodawca, ktorywykupil abonament"
913;"ck6.4";"kto placil:jakas instytucja dobroczynna"
914;"ck7.1pk";"u lekarza pk prywatnie"
915;"ck7.1sp";"u specjalisty prywatnie"
916;"ck7.2pk";"u lekarza pk w publicznej placowce"
917;"ck7.2sp";"u specjalisty w publicznej placowce"
918;"ck8.1";"placil:sami Panstwo"
919;"ck8.2";"placil:ktos spoza gosp. domowego"
920;"ck8.3";"placil:NFZ"
921;"ck8.4";"placil:pracodawca, ktorywykupil abonament"
922;"ck8.5";"placil:jakas instytucja dobroczynna"
923;"ck9.1";"brakuje srodkow na oplacenie takich badan"
924;"ck9.2";"badania nie sa potrzebne"
925;"ck9.3";"zleci je specjalista, do ktorego zostal(a) Pan(i) skierowany(-a)"
926;"ck9.4";"lepiej wykonac je w czasie pobytu w szpitalu"
927;"ck9.5";"nie skierowal i nie wyjasnil dlaczego"
928;"ck9.6";"nie pamietam, nie wiem, nie bylo w ogole mowy o badaniach diagnostycznych"
929;"ck9.7";"skierowal"
930;"ck9.8";"nie dotyczy (badania nie byly potrzebne i pacjent ich nie oczekiwal)"
931;"ck10.1";"informacje o dobrej jakosci pracy danego specjalisty"
932;"ck10.2";"sugestie lekarza wystawiajacego skierowanie do specjalisty"
933;"ck10.3";"bliskosc miejsca zamieszkania"
934;"ck10.4";"dogodnosc czasu przyjec przez specjaliste"
935;"ck10.5";"wybrany specjalista pracowal w szpitalu, w ktorym planowane bylo dalsze leczenie"
936;"ck10.6";"wybrany specjalista pracowal w szpitalu, w ktorym wczesniej ta osoba sie leczyla"
937;"ck10.7";"wczesniej juz sie ta osoba leczyla u tego specjalisty"
938;"ck10.8";"nie pamietam/ trudno powiedziec"
939;"ck11.1";"ile na:kupowanie uslug w zakresie ambulatoryjnej opieki zdrowotnej w placowkach sluzby zdrowia"
940;"ck11.2";"ile na:oplaty nieformalne czyli tzw. dowodywdziecznosci, ktore mialy sprawic, ze opieka bedzie lepsza lub szybciej udzielona"
941;"ck11.3";"ile na:prezenty jako dowod szczerej wdziecznosci za uzyskana juz opieke"
942;"ck11.4";"ile na:leczenie w szpitalu prywatnym lub publicznym, w ktorym oplacono leczenie szpitalne z wlasnej kieszeni, oficjalnie zakupujac tam uslugi medyczne"
943;"ck11.5";"ile na:oplatyw szpitalu publicznym (np. na tzw. cegielki, oplaty za nocne dyzury, zakup lekow w aptece dla pacjenta leczonego w szpitalu)"
944;"ck12";"ile w sumie wydano w ciagu ostatnich 3 miesiecy na leki i inne artykuly farmaceutyczne zwiazane z choroba w Pana(i) gospodarstwie domowym (w zlotych)?"
945;"ck13.1";"nie starczylo pieniedzy na realizacje recept lub wykupienie lekow zalecanych przez lekarza"
946;"ck13.2";"z powodu braku pieniedzy nie leczyli Panstwo zebow, mimo ze istniala taka potrzeba"
947;"ck13.3";"z powodu braku pieniedzymusieli Panstwo zrezygnowac z uzyskania protez zebowych"
948;"ck13.4";"z powodu braku pieniedzymusieli Panstwo zrezygnowac z wizyt u lekarza"
949;"ck13.5";"z powodu braku pieniedzymusieli Panstwo zrezygnowac z badan medycznych (np. badania laboratoryjne, przeswietlenia, EKG"
950;"ck13.6";"z powodu braku pieniedzymusieli Panstwo zrezygnowac z zabiegow rehabilitacyjnych"
951;"ck13.7";"z powodu braku pieniedzymusieli Panstwo zrezygnowac z wyjazdu do sanatorium"
952;"ck13.8";"z powodu braku pieniedzymusieli Panstwo zrezygnowac z leczenia w szpitalu"
953;"ck14.1";"leki za drogie:zwrociliscie sie do lekarza z prosba o przepisanie lub zalecenie innych lekow"
954;"ck14.2";"leki za drogie:postaraliscie sie o dodatkowe pieniadze na wykupienie lekow"
955;"ck14.3";"leki za drogie:zrezygnowaliscie z wykupienia lekow"
956;"ck14.4";"leki za drogie:skorzystaliscie z opieki szpitalnej, gdzie zapewniono leki nieodplatnie"
957;"ck14.5";"leki za drogie:skorzystaliscie z rady aptekarza i wykupiliscie tansze leki"
958;"ck15";"w porownaniu do sytuacji sprzed dwoch lat zaspokojenie potrzeb zdrowotnych Pana(i) gospodarstwa domowego"
959;"ck16";"Czy Pana(i) rodzina ma wystarczajace informacje o zasadach korzystania ze sluzby zdrowia"
960;"ck17.1";"zrezygnowano z leczenia w obawie o:dodatkowe oplaty"
961;"ck17.2";"zrezygnowano z leczenia w obawie o:niemoznosc uzyskania jakis dodatkowych zaswiadczen lub skierowan"
962;"ck18";"w porownaniu z poprzednim okresem, korzystali z placowek sluzby zdrowia, w ktorych trzeba placic wylacznie z wlasnej kieszeni:"
963;"ck19";"Ile bylby(-aby) Pan(i) sklonny(-a) wydac na dobrowolne dodatkowe ubezpieczenie zdrowotne"
964;"ck20";"Czy dostep do lekarzy i placowek sluzby zdrowia finansowanych ze srodkow publicznych jest obecnie latwiejszy czy trudniejszy niz przed dwoma laty."
965;"ck21.1";"latwiej:mozna zapisac sie z wyprzedzeniem"
966;"ck21.2";"latwiej:mozna zapisac sie telefonicznie"
967;"ck21.3";"latwiej:wizyty sa na umowiona godzine bez nadmiernego oczekiwania"
968;"ck21.4";"latwiej:dogodniejsze, wydluzone godziny przyjec"
969;"ck21.5";"latwiej:mozna poradzic sie lekarza przez telefon"
970;"ck21.6";"latwiej:lekarzom bardziej zalezy na przyjeciu pacjentow"
971;"ck21.7";"latwiej:skrocil sie czas oczekiwania na miejsce w szpitalu"
972;"ck21.8";"latwiej:poprawiono informacje o miejscach i czasie leczenia"
973;"ck22.1";"uzas:oplata za korzystanie w szpitalu z pokoju o podwyzszonym standardzie"
974;"ck22.2";"uzas:oplata ryczaltowa w wysokosci 20 zl za kazdy dzien pobytu w szpitalu, ze zwolnieniem z niej dzieci, rencistow, bezrobotnych oraz osob pobierajacych zasilki pomocy spolecznej"
975;"ck22.3";"uzas:symboliczna oplata ryczaltowa za kazda wizyte u lekarza pierwszego kontaktu, ale nie wiecej niz za 10 wizyt w ciagu roku"
976;"ck22.4";"uzas:symboliczna oplata ryczaltowa za kazda wizyte u lekarza specjalisty, ale nie wiecej niz za 10 wizyt w roku"
977;"ck22.5";"uzas:symboliczna oplata ryczaltowa za ambulatoryjne zabiegi rehabilitacyjne"
978;"ck22.6";"uzas:oplata ryczaltowa symboliczna za kazda wizyte lekarza spoza pogotowia ratunkowego w domu pacjenta"
979;"cl1";"dochod netto gospodarstwa w poprzednim miesiacu"
980;"cl3";"dochod miesieczny netto w 2004 r."
981;"cl2";"dochody uzyskane przez Pana(i) gospodarstwo w poprzednim miesiacu bylyw porownaniu z innymi przecietnymi miesiacami:"
982;"cl4";"Czy przy aktualnym dochodzie netto Pana(i) gospodarstwo domowe wiaze koniec z koncem?"
983;"cl5";"Jaki jest najnizszymiesieczny dochod netto w zl potrzebny do zwiazania konca z koncem"
984;"cl6";"Jaki poziom miesiecznego dochodu netto w zl Pana(i) gospodarstwa domowego gwarantuje satysfakcjonujacy poziom zycia teraz i w przyszlosci"
985;"cl7";"Ktore z nastepujacych okreslen najlepiej charakteryzuje sposob gospodarowania dochodem"
986;"cl8";"Czy stale dochody Pana(i) gospodarstwa domowego pozwalaja na zaspokojenie biezacych potrzeb?"
987;"cl9.1";"dzialania dla zaspokojenia biezacych potrzeb:wykorzystuje zgromadzone oszczednosci"
988;"cl9.10";"dzialania dla zaspokojenia biezacych potrzeb:nie podejmuje zadnych dzialan"
989;"cl9.2";"dzialania dla zaspokojenia biezacych potrzeb:wyzbywa sie posiadanego majatku (sprzedaje dobra rzeczowe) lub oddaje rzeczy pod zastaw"
990;"cl9.3";"dzialania dla zaspokojenia biezacych potrzeb:ogranicza biezace potrzeby"
991;"cl9.4";"dzialania dla zaspokojenia biezacych potrzeb:zaciaga pozyczki, kredyty"
992;"cl9.5";"dzialania dla zaspokojenia biezacych potrzeb:korzysta z pomocy krewnych"
993;"cl9.6";"dzialania dla zaspokojenia biezacych potrzeb:korzysta z pomocy kosciola"
994;"cl9.7";"dzialania dla zaspokojenia biezacych potrzeb:korzysta z pomocy spolecznej"
995;"cl9.8";"dzialania dla zaspokojenia biezacych potrzeb:czlonek gospodarstwa podejmuje dodatkowa prace"
996;"cl9.9";"dzialania dla zaspokojenia biezacych potrzeb:podejmuje inne dzialania"
997;"cl10.1";"ubezpieczenie OC posiadacza pojazdu"
998;"cl10.2";"ubezpieczenie AutoCasco"
999;"cl10.3";"ubezpieczenie OC posiadacza gospodarstwa rolnego"
1000;"cl10.4";"ubezpieczenie budynkow gospodarstwa rolnego"
1001;"cl10.5";"ubezpieczenie mieszkania (domu) jako nieruchomosci"
1002;"cl10.6";"ubezpieczenie wyposazenia mieszkania (domu)"
1003;"cl10.7";"ubezpieczenie na zycie"
1004;"cl10.8";"ubezpieczenie na zycie z funduszem inwestycyjnym/kapitalowym"
1005;"cl10.9";"ubezpieczenie posagowe, zaopatrzenia dzieci"
1006;"cl10.10";"ubezpieczenie rentowe"
1007;"cl10.10a";"ubezpieczenie od nastepstw nieszczesliwych wypadkow"
1008;"cl10.11";"ubezpieczenie chorobowe dobrowolne, inne od obowiazkowego ubezpieczenia w NFZ"
1009;"cl10.12";"ubezpieczenie kredytu"
1010;"cl10.13";"ubezpieczenie OC w zyciu prywatnym"
1011;"cl10.14";"ubezpieczenie OC z tytulu wykonywanego zawodu"
1012;"cl10.15";"ubezpieczenie OC z tytulu prowadzenia dzialalnosci gospodarczej"
1013;"cl10.16";"ubezpieczenie rolnicze (upraw)"
1014;"cl11.1";"Co zadecydowalo, ze kupili ubezpieczenie:obowiazek ubezpieczenia"
1015;"cl11.2";"Co zadecydowalo, ze kupili ubezpieczenie:obawa o przyszlosc rodziny"
1016;"cl11.3";"Co zadecydowalo, ze kupili ubezpieczenie:nieszczesliwe zdarzenie w zyciu rodziny"
1017;"cl11.4";"Co zadecydowalo, ze kupili ubezpieczenie:nieszczesliwe zdarzenie w zyciu znajomych"
1018;"cl11.5";"Co zadecydowalo, ze kupili ubezpieczenie:sugestia, rada znajomych"
1019;"cl11.6";"Co zadecydowalo, ze kupili ubezpieczenie:reklama"
1020;"cl11.7";"Co zadecydowalo, ze kupili ubezpieczenie:namowa agenta ubezpieczeniowego"
1021;"cl11.8";"Co zadecydowalo, ze kupili ubezpieczenie:inne przyczyny"
1022;"cl12.1";"konieczne w zwiazku z uzyskaniem kredytu:ubezpieczenie na zycie"
1023;"cl12.2";"konieczne w zwiazku z uzyskaniem kredytu:ubezpieczenie AutoCasco samochodu"
1024;"cl12.3";"konieczne w zwiazku z uzyskaniem kredytu:ubezpieczenie mieszkania (domu)"
1025;"cl13";"w porownaniu do sytuacji sprzed dwoch lat sytuacja dochodowa Pana(i) gospodarstwa domowego:"
1026;"cl14.1";"na co dodatkowe pieniadze:powiekszenie lokat bankowych"
1027;"cl14.2";"na co dodatkowe pieniadze:kupno panstwowych papierow wartosciowych"
1028;"cl14.3";"na co dodatkowe pieniadze:udzial w funduszu inwestycyjnym"
1029;"cl14.4";"na co dodatkowe pieniadze:kupno akcji"
1030;"cl14.5";"na co dodatkowe pieniadze:kupno dodatkowych ubezpieczen"
1031;"cl14.6";"na co dodatkowe pieniadze:rozszerzenie posiadanych ubezpieczen"
1032;"cl14.7";"na co dodatkowe pieniadze:inne"
1033;"cl15";"Czy ktos w Pana gospodarstwie domowym posiada grunty rolne, ktore uprawniaja do ubiegania sie o doplaty bezposrednie dla rolnikow z Unii Europejskiej?"
1034;"cl16";"czy ubiegal sie o doplaty dla rolnikow w zeszlym roku?"
1035;"cl17";"czy zamierza sie ubiegac o doplatyw tym roku?"
1036;"cl18";"czy je otrzymal lub otrzyma?"
1037;"cl19.1";"pieniadze z doplat:na splate kredytow i pozyczek"
1038;"cl19.2";"pieniadze z doplat:na zakup ziemi, maszyn i srodkow do produkcji"
1039;"cl19.3";"pieniadze z doplat:na remont domu lub budynkow gospodarczych"
1040;"cl19.4";"pieniadze z doplat:na ksztalcenie dzieci"
1041;"cl19.5";"pieniadze z doplat:na leczenie i opieke zdrowotna"
1042;"cl19.6";"pieniadze z doplat:na wyposazenie domu"
1043;"cl19.7";"pieniadze z doplat:na biezace wydatki"
1044;"cl19.8";"pieniadze z doplat:na inne cele"
1045;"cl19.9";"pieniadze z doplat:jeszcze nie wiem"
1046;"cm1.1";"brak internetu:brak odpowiedniego sprzetu"
1047;"cm1.2";"brak internetu:wystarczajace mozliwosci korzystania z Internetu gdzie indziej"
1048;"cm1.3";"brak internetu:Internet nie jest nam potrzebny,"
1049;"cm1.4";"brak internetu:Internet nie ma nic ciekawego do zaoferowania"
1050;"cm1.5";"brak internetu:wzgledy prywatnosci lub bezpieczenstwa"
1051;"cm1.6";"brak internetu:Internet moze byc szkodliwy, np. moze demoralizowac dzieci, zabierac czas"
1052;"cm1.7";"brak internetu:koszty dostepu sa zbyt duze"
1053;"cm1.8";"bark internetu:brak odpowiednich umiejetnosci korzystania"
1054;"cm1.9";"bark internetu:inny powod"
1055;"cm1.10";"bark internetu:zamierzamy zalozyc dostep wtymroku"
1056;"cm2.1";"internet:modem (polaczenie przez stacjonarna linie telefoniczna)"
1057;"cm2.2";"internet:stale lacze o predkosci nie wiekszej niz 512 kb/s"
1058;"cm2.3";"internet:stale lacze o predkosci powyzej 512 kb/s"
1059;"cm2.4";"internet:telefon komorkowy (GPRS)"
1060;"cm2.5";"internet:nie wiem"
1061;"cm3";"stale lacze, to jakiego typu?"
1062;"cm4";"od jak dawna komputer w domu"
1063;"cn1.1";"Zdarzylo nam sie zaczac kupowac jakis produkt dlatego, ze zanieczyszczal srodowisko mniej niz ten, ktory kupowalismy wczesniej"
1064;"cn1.2";"Staramy sie wyrzucac smieci (takie, jak papier, plastyk albo szklo) do specjalnych pojemnikow"
1065;"cn1.3";"Kiedy robimy zakupy, staramy sie ograniczyc liczbe plastykowych torebek, w ktore je pakujemy"
1066;"czug";"Zrodlo utrzymania gosp.dom. 2005"
1067;"cTypGD";"Typ gospodarstwa domowego 2005"
1068;"cNCUb";"Liczba jednostek konsumpcyjnych w gosp.dom 2005"
1069;"da5";"Symbol zrodla utrzymania gospodarstwa"
1070;"de1.1";"warzywa i przetwory warzywne"
1071;"de1.2";"owoce i przetwory owocowe"
1072;"de1.3";"mieso (w tym drob)"
1073;"de1.4";"przetwory miesne i drobiowe"
1074;"de1.5";"ryby i przetwory rybne"
1075;"de1.6";"maslo i inne tluszcze jadalne"
1076;"de1.7";"mleko"
1077;"de1.8";"przetwory mleczne"
1078;"de1.9";"cukier"
1079;"de1.10";"wyroby cukiernicze (slodycze, czekolada itd.)"
1080;"de1.11";"uzywki (kawa, herbata, alkohol, papierosy)"
1081;"de2";"Czy w porownaniu do sytuacji sprzed dwoch lat zaspokojenie potrzeb zywnosciowych Pana(i) gospodarstwa domowego"
1082;"df1";"Czy Pana(i) gospodarstwo domowe posiada jakies oszczednosci?"
1083;"df2";"Jaka jest w przyblizeniu laczna wartosc posiadanych przez gospodarstwo domowe oszczednosci?"
1084;"df3.1";"lokaty w bankach w zlotych"
1085;"df3.2";"lokaty w bankach w walutach obcych"
1086;"df3.3";"w obligacjach"
1087;"df3.4";"w funduszach inwestycyjnych"
1088;"df3.5";"Indywidualne Konto Emerytalne"
1089;"df3.6";"w papierach wartosciowych notowanych na gieldzie"
1090;"df3.7";"udzialy oraz akcje w prywatnych spolkach akcyjnych"
1091;"df3.8";"lokaty w nieruchomosciach"
1092;"df3.9";"lokaty w innych niz nieruchomosci dobrach materialnych"
1093;"df3.10";"w gotowce"
1094;"df3.11";"w innej formie"
1095;"df4.1";"rezerwa na biezace wydatki konsumpcyjne (np. zywnosc, odziez i ubranie)"
1096;"df4.2";"stale oplaty (np. mieszkaniowe)"
1097;"df4.3";"zakup dobr trwalego uzytku"
1098;"df4.4";"zakup domu, zakup mieszkania, wklad do spoldzielni mieszkaniowej"
1099;"df4.5";"remont domu, mieszkania"
1100;"df4.6";"leczenie"
1101;"df4.7";"wypoczynek"
1102;"df4.8";"rezerwa na sytuacje losowe"
1103;"df4.9";"zabezpieczenie przyszlosci dzieci"
1104;"df4.10";"zabezpieczenie na starosc"
1105;"df4.11";"na inne cele"
1106;"df4.12";"bez specjalnego przeznaczenia"
1107;"df5";"Czy Pana(i) gospodarstwo domowe ma obecnie do splacenia pozyczki lub kredyty?"
1108;"df6.1";"w bankach"
1109;"df6.2";"w innych instytucjach"
1110;"df6.3";"u osob prywatnych"
1111;"df7";"Ile wynosi lacznie zadluzenie Pana(i) gospodarstwa domowego?"
1112;"df8.1";"na biezace wydatki konsumpcyjne (np. zywnosc, odziez, obuwie)"
1113;"df8.2";"stale oplaty (np. mieszkaniowe)"
1114;"df8.3";"zakup dobr trwalego uzytku"
1115;"df8.4";"zakup domu, zakup mieszkania, wklad do spoldzielni mieszkaniowej"
1116;"df8.5";"remont domu, mieszkania"
1117;"df8.6";"leczenie"
1118;"df8.7";"zakup, dzierzawa narzedzi pracy (maszyny, wynajem lokalu itd.)"
1119;"df8.8";"wypoczynek"
1120;"df8.9";"zakup papierow wartosciowych"
1121;"df8.10";"splata wczesniejszych dlugow"
1122;"df8.11";"rozwoj wlasnej dzialalnosci gospodarczej"
1123;"df8.12";"ksztalcenie"
1124;"df8.13";"na inne cele"
1125;"df9.1";"Przy robieniu zakupow najwazniejsza jest dla nas jakosc produktu. Cena jest kwestia drugorzedna"
1126;"df9.2";"W naszym gospodarstwie domowym regularnie spotykamy sie z wieloma przyjaciolmi i krewnymi"
1127;"df9.3";"W naszym gospodarstwie domowym lubimy wydawac duzo pieniedzy na urzadzenia techniczne"
1128;"df9.4";"W naszym gospodarstwie domowym jestesmy na biezaco z nowoczesna technika"
1129;"df10";"Czy w porownaniu do sytuacji sprzed dwoch lat sytuacja materialna Pana(i) gospodarstwa domowego:"
1130;"df11.01p";"posiada:pralke automatyczna"
1131;"df11.01f";"nie posiada fin:pralke automatyczna"
1132;"df11.02p";"posiada:zmywarke do naczyn"
1133;"df11.02f";"nie posiada fin:zmywarke do naczyn"
1134;"df11.03p";"posiada:kuchenke mikrofalowa"
1135;"df11.03f";"nie posiada fin:kuchenke mikrofalowa"
1136;"df11.04p";"posiada:telewizor LCD lub plazma"
1137;"df11.04f";"nie posiada fin:telewizor LCD lub plazma"
1138;"df11.05p";"posiada:telewizje satelitarna"
1139;"df11.05f";"nie posiada fin:telewizje satelitarna"
1140;"df11.06p";"posiada:telewizje kablowa"
1141;"df11.06f";"nie posiada fin:telewizje kablowa"
1142;"df11.07p";"posiada:odtwarzacz DVD"
1143;"df11.07f";"nie posiada fin:odtwarzacz DVD"
1144;"df11.08p";"posiada:kino domowe"
1145;"df11.08f";"nie posiada fin:kino domowe"
1146;"df11.09p";"posiada:dom letniskowy"
1147;"df11.09f";"nie posiada fin:dom letniskowy"
1148;"df11.10p";"posiada:komputer stacjonarny"
1149;"df11.10f";"nie posiada fin:komputer stacjonarny"
1150;"df11.10i";"ile:komputer stacjonarny"
1151;"df11.11p";"posiada:komputer przenosny (laptop, notebook)"
1152;"df11.11f";"nie posiada fin:komputer przenosny (laptop, notebook)"
1153;"df11.11i";"ile:komputer przenosny (laptop, notebook)"
1154;"df11.12p";"posiada:samochod osobowy (osobowo-dostawczy)"
1155;"df11.12f";"nie posiada fin:samochod osobowy (osobowo-dostawczy)"
1156;"df11.12i";"ile:samochod osobowy (osobowo-dostawczy)"
1157;"df11.13p";"posiada:dostep do Internetu w domu"
1158;"df11.13f";"nie posiada fin:dostep do Internetu w domu"
1159;"df11.14p";"posiada:telefon stacjonarny"
1160;"df11.14f";"nie posiada fin:telefon stacjonarny"
1161;"df11.14t";"TP:telefon stacjonarny"
1162;"df11.15p";"posiada:lodz motorowa, zaglowa"
1163;"df11.15f";"nie posiada fin:lodz motorowa, zaglowa"
1164;"df11.16p";"posiada:dzialke rekreacyjna"
1165;"df11.16f";"nie posiada fin:dzialke rekreacyjna"
1166;"df11z";"komuter:zakup"
1167;"df11m";"komuter:modernizacja"
1168;"df12";"Jesli w gospodarstwie jest komputer, to od kiedy? (podac dwie ostatnie cyfry roku)"
1169;"dg1";"Czy Pana(i) gospodarstwo domowe uzytkuje mieszkanie samodzielnie?"
1170;"dg2";"Ile izb (lacznie z kuchnia) ma Pana(i) gospodarstwo wylacznie do wlasnej dyspozycji lub do dyspozycji wspolnie z osobami spoza gospodarstwa?"
1171;"dg3";"Jaka jest powierzchnia uzytkowa mieszkania zajmowanego przez gosp. domowe"
1172;"dg4.1";"wodociag"
1173;"dg4.2";"ustep splukiwany woda biezaca"
1174;"dg4.3";"lazienka z wanna lub prysznicem"
1175;"dg4.4";"ciepla woda biezaca"
1176;"dg4.5";"gaz z sieci"
1177;"dg4.6";"gaz z butli"
1178;"dg5";"W jaki sposob ogrzewane jest mieszkanie?"
1179;"dg6.1";"oplatami za mieszkanie (czynsz)"
1180;"dg6.2";"oplatami za gaz, energie elektryczna"
1181;"dg6.3";"splata kredytu mieszkaniowego"
1182;"dg7";"Czy w stosunku do sytuacji sprzed dwoch lat warunki mieszkaniowe Pana(i) gospodarstwa domowego:"
1183;"dh1";"Czy gospodarstwo otrzymuje jakas pomoc z zewnatrz:"
1184;"dh2.1";"finansowej"
1185;"dh2.2";"rzeczowej"
1186;"dh2.3";"w formie uslug"
1187;"di4";"Czy uczace sie dzieci maja w domu wlasne miejsce do nauki"
1188;"di5";"Czy w porownaniu do sytuacji sprzed dwoch lat zaspokojenie potrzeb Pana(i) gospodarstwa domowego zwiazanych z ksztalceniem dzieci"
1189;"di6.1";"zrezygnowania z podjecia przez dziecko zajec dodatkowych?"
1190;"di6.2";"ograniczenia lub zawieszenia wplat na szkole?"
1191;"di6.3";"zrezygnowania z korzystania przez dziecko z obiadow w szkole"
1192;"di6.4";"zrezygnowania z korepetycji dla dziecka?"
1193;"di6.5";"zmiany szkoly na wymagajaca mniejszych oplat?"
1194;"di6.6";"innych ograniczen?"
1195;"dj1.1";"rezygnacja z kina"
1196;"dj1.2";"rezygnacja z teatru, opery, operetki, filharmonii, koncertu"
1197;"dj1.3";"rezygnacja z muzeum lub wystawy"
1198;"dj1.4";"rezygnacja z zakupu ksiazki"
1199;"dj1.5";"rezygnacja z zakupu prasy (gazet, tygodnikow, miesiecznikow)"
1200;"dj2";"Ile jest ( w przyblizeniu ) w Panstwa domu ksiazek (bez podrecznikow szkolnych lub instrukcji)"
1201;"dj3";"Czy w porownaniu do sytuacji sprzed dwoch lat zaspokojenie potrzeb Pan(i) gospodarstwa domowego zwiazanych z kultura"
1202;"dj4";"Czy w porownaniu do sytuacji sprzed dwoch lat zaspokojenie potrzeb Pan(i) gospodarstwa domowego zwiazanych z wypoczynkiem"
1203;"dj5.1";"rezygnaca z kolonii, obozu, innych wyjazdow grupowych dzieci (niepelnoletnich)"
1204;"dj5.2";"rezygnaca z urlopu, wyjazdow doroslych"
1205;"dj5.3";"rezygnaca z wyjazdow rodzinnych (dorosli i dzieci niepelnoletnie)"
1206;"dk1.1";"placowek sluzby zdrowia oplacanych przez NFZ"
1207;"dk1.2";"placowek sluzby zdrowia oplacanych przez osobe spoza gosp. domowego"
1208;"dk1.3";"placowek, w ktorych trzeba placic z wlasnej kieszeni"
1209;"dk1.4";"placowek oplacanych przez pracodawce, ktory wykupil abonament"
1210;"dk1.5";"placowek oplacanych przez instytucje dobroczynne"
1211;"dk2";"Czy ktokolwiek z czlonkow Pana(i) gospodarstwa domowego przebywal w ostatnim roku w szpitalu?"
1212;"dk3.1";"chory wybral szpital kierujac sie sugestiami lekarza, ktory wystawil skierowanie do szpitala"
1213;"dk3.2";"wyboru szpitala dokonal pracownik pogotowia ratunkowego"
1214;"dk3.3";"chory lub inny czlonek gospodarstwa domowego wybral szpital, kierujac sie wlasnymi informacjami o jakosci pracy roznych szpitali"
1215;"dk3.4";"wybrany zostal dany szpital dlatego, ze jest najblizej miejsca zamieszkania"
1216;"dk3.5";"wybrany zostal dany szpital dlatego, ze byl w nim krotszy niz w innych czas oczekiwania na przyjecie"
1217;"dk4.1";"sami Panstwo"
1218;"dk4.2";"jakas osoba spoza gosp. domowego"
1219;"dk4.3";"NFZ"
1220;"dk4.4";"pracodawca, ktory wykupil abonament"
1221;"dk4.5";"jakas instytucja dobroczynna"
1222;"dk5";"Czy ktokolwiek z Pana(i) gospodarstwa domowego byl w ciagu ostatnich 3 miesiecy u lekarza (pierwszego kontaktu lub specjalisty)?"
1223;"dk6.1";"sami Panstwo"
1224;"dk6.2";"ktos spoza gosp. domowego"
1225;"dk6.3";"NFZ"
1226;"dk6.4";"pracodawca, ktory wykupil abonament"
1227;"dk6.5";"jakas instytucja dobroczynna"
1228;"dk7.1";"na leczenie czy rozne badania w przychodniach i gabinetach w ktorych oficjalnie placono za uslugi (w tym rowniez ponadstandardowych uslug stomatologow, ortodontow, sprzetu ortopedycznego w czesci finansowanych przez NFZ itp.)"
1229;"dk7.2";"oplaty nieformalne czyli tzw. dowody wdziecznosci, ktore mialy sprawic, ze opieka bedzie lepsza lub szybciej udzielona"
1230;"dk7.3";"prezenty jako dowod szczerej wdziecznosci za uzyskana juz opieke"
1231;"dk7.4";"leczenie w szpitalu prywatnym lub publicznym, w ktorym oplacono leczenie szpitalne z wlasnej kieszeni, oficjalnie zakupujac tam uslugi medyczne"
1232;"dk7.5";"oplaty w szpitalu publicznym (np. na tzw. cegielki, oplaty za nocne dyzury, zakup lekow w aptece dla pacjenta leczonego w szpitalu)"
1233;"dk8";"Prosze powiedziec, ile w sumie wydano w ciagu ostatnich 3 miesiecy na leki i inne artykuly farmaceutyczne zwiazane z choroba w Pana(i) gospodarstwie domowym (w zlotych)?"
1234;"dk9";"Czy w porownaniu do sytuacji sprzed dwoch lat zaspokojenie potrzeb zdrowotnych Pana(i) gospodarstwa domowego"
1235;"dk10.1";"nie starczylo pieniedzy na realizacje recept lub wykupienie lekow zalecanych przez lekarza"
1236;"dk10.2";"z powodu braku pieniedzy nie leczyli Panstwo zebow"
1237;"dk10.3";"z powodu braku pieniedzy musieli Panstwo zrezygnowac z uzyskania protez zebowych"
1238;"dk10.4";"z powodu braku pieniedzy musieli Panstwo zrezygnowac z wizyt u lekarza"
1239;"dk10.5";"z powodu braku pieniedzy musieli Panstwo zrezygnowac z badan medycznych (np. badania laboratoryjne, przeswietlenia, EKG)"
1240;"dk10.6";"z powodu braku pieniedzy musieli Panstwo zrezygnowac z zabiegow rehabilitacyjnych"
1241;"dk10.7";"z powodu braku pieniedzy musieli Panstwo zrezygnowac z wyjazdu do sanatorium"
1242;"dk10.8";"z powodu braku pieniedzy musieli Panstwo zrezygnowac z leczenia szpitalnego"
1243;"dk11.1";"zwrociliscie sie do lekarza z prosba o przepisanie lub zalecenie innych lekow"
1244;"dk11.2";"postaraliscie sie o dodatkowe pieniadze na wykupienie lekow"
1245;"dk11.3";"zrezygnowaliscie z wykupienia lekow"
